station_id,num_bikes_available,num_docks_available,is_installed,is_renting,is_returning,last_reported
342849,1,30,1,1,1,1600711881
342851,0,15,1,1,1,1600711881
342852,0,13,1,1,1,1600711881
342853,4,7,1,1,1,1600711881
342854,2,5,1,1,1,1600711881
342855,2,15,1,1,1,1600711881
342856,0,5,1,1,1,1600711881
342858,2,12,1,1,1,1600711881
342859,1,19,1,1,1,1600711881
342860,1,6,1,1,1,1600711881
342862,6,13,1,1,1,1600711881
342863,1,18,1,1,1,1600711881
342864,3,13,1,1,1,1600711881
342866,1,18,1,1,1,1600711881
342867,0,19,1,1,1,1600711881
342868,6,13,1,1,1,1600711881
342869,0,12,1,1,1,1600711881
342870,8,11,1,1,1,1600711881
342871,3,12,1,1,1,1600711881
342872,5,12,1,1,1,1600711881
342873,0,7,1,1,1,1600711881
342874,2,17,1,1,1,1600711881
342875,1,4,1,0,0,1600711881
342876,0,14,1,1,1,1600711881
342877,2,11,1,1,1,1600711881
342878,1,14,1,1,1,1600711881
342879,1,6,1,1,1,1600711881
342881,2,16,1,1,1,1600711881
342882,1,18,1,1,1,1600711881
342884,4,15,1,1,1,1600711881
342885,4,13,1,1,1,1600711881
342887,2,6,1,1,1,1600711881
342888,0,9,1,1,1,1600711881
342889,0,19,1,1,1,1600711881
342890,0,15,1,1,1,1600711881
342893,1,18,1,1,1,1600711881
342894,2,12,1,1,1,1600711881
342895,2,17,1,1,1,1600711881
342896,1,13,1,1,1,1600711881
342899,1,18,1,1,1,1600711881
342900,3,5,1,1,1,1600711881
342901,2,17,1,1,1,1600711881
342912,1,18,1,1,1,1600711881
342913,1,12,1,1,1,1600711881
342914,5,11,1,1,1,1600711881
342915,20,0,1,1,1,1600711881
342916,3,12,1,1,1,1600711881
342917,3,12,1,1,1,1600711881
343649,2,15,1,1,1,1600711881
2190846,4,1,1,1,1,1600711881
5225880,4,8,1,1,1,1600711881
8686229,2,3,1,1,1,1600711881
8686274,0,6,1,1,1,1600711881
8686329,3,3,1,1,1,1600711881
8724677,0,5,1,1,1,1600711881
8724691,3,3,1,1,1,1600711881
8785610,0,6,1,1,1,1600711881
8787121,0,6,1,1,1,1600711881
8963744,3,5,1,1,1,1600711881
9724082,4,2,1,1,1,1600711881
9724141,2,8,1,1,1,1600711881
10020214,3,2,1,1,1,1600711881
10105608,3,3,1,1,1,1600711881
10107789,0,7,1,1,1,1600711881
10160914,1,1,1,1,1,1600711881
10165606,1,6,1,1,1,1600711881
10178394,1,5,1,1,1,1600711881
10214358,0,5,1,1,1,1600711881
10214400,2,3,1,1,1,1600711881
10480686,1,4,1,1,1,1600711881
10480733,2,3,1,1,1,1600711881
10480782,1,4,1,1,1,1600711881
10558197,1,4,1,1,1,1600711881
10558216,2,2,1,1,1,1600711881
10558237,0,6,1,1,1,1600711881
10567211,3,1,1,1,1,1600711881
10567246,1,3,1,1,1,1600711881
10597581,5,1,1,1,1,1600711881
10631736,2,3,1,1,1,1600711881
10639910,1,4,1,1,1,1600711881
10727045,2,3,1,1,1,1600711881
10727824,1,5,1,1,1,1600711881
11053651,1,5,1,1,1,1600711881
11053694,2,3,1,1,1,1600711881
11053815,1,4,1,1,1,1600711881
11053841,2,4,1,1,1,1600711881
11130446,3,2,1,1,1,1600711881
11403287,2,4,1,1,1,1600711881
11403306,4,1,1,1,1,1600711881
11403360,0,6,1,1,1,1600711881
11403391,5,2,1,1,1,1600711881
13368143,1,5,1,1,1,1600711881
13369324,2,3,1,1,1,1600711881
13698079,1,4,1,1,1,1600711881
14596896,1,4,1,1,1,1600711881
15488037,6,0,1,1,1,1600711881
15488098,2,1,1,1,1,1600711881
15488158,7,2,1,1,1,1600711881
20789602,4,0,1,1,1,1600711881
23073233,3,7,1,1,1,1600711881
